,posts,vader_sentiment
0,no new cluster beside two days,-0.296
1,consistency accuracy could easier use data new moh situation report separates non foreigners citizen pr think count named clusters either linked construction sites live non cluster get categorized linked clusters pending investigations respectively moh situation report 28 3 10 4 ltp holders 545 linked clusters 126 linked clusters 141 pending investigations whereas estimate time period 702 construction related reason make graphs really 2 separate problems singapore circuit breaker slow growth general public stopping work construction sites circuit breaker doesn help construction site problem construction site problem tackled improving living conditions testing separating sick well conversely issues way many people exercising eating hawker centres sneakily meeting etc affect non problem yes testing situation worrisome not know prioritizing tests would political suicide moh admit either prioritizing sc pr first patriotism urgent separate sick cramped conditions,-0.7769
2,iq lower 86 believe csb maids pregnant nothing fws sex friends catholic believe immaculate inception like mary,-0.5932
3,work nearby westlite toh guan initial reports westlite saw still open operating usual even food stalls provision shop rather surprised didn try isolate situation earlier understand maybe couldn put everyone shn immediately financial implications wonder still allowed still congregate eating place also allowed provision shop stay open didn see sanitizing stuff going fair telecommuting week may done without seeing many decided lock place also spread toh guan across road couple units quite frustrated something wasn done earlier,-0.3167
4,ho seh,0.0
5,not saying caused spread among agree oversight gov part,0.3612
6,1 healthy no wear mask mask mandatory 2 many 98 ltvp 699 india strategy change according stage pandemic basic principle country must not expend equipment early stages characteristic still unknown expect strategy continue changing correct response should like,0.5106
7,exactly people even wanna let public servants rest,0.0
8,current situation beyond woman 24hrs day not enough ya seem like age alot within month,0.3612
9,iran followed china india israel saudi arabia japan singapore asia also add turkey half eu asia run japan tomorrow japan defeated must og open flood gate another 300k jhk reinforced replenish stockpile ultimate big push topple china asia champion glory sg make sg great another major milestone number one asia,0.8658
10,coz still get salaries staying bunk no wonder not taking measures seriously,-0.1734
11,becoming bangala na0 sent mi 9t using,0.0
12,feel views quite myopic seen housed transported treated like woodpile imagine safety hygiene standards trucks scores transported without seat belts harnesses obvious lives matter less average singaporean person western media looks middle east singapore entirely different lenses pretty obvious reasons precisely able avoid public eye sign developed economy one unskilled labourers welders fitters electricians earn good healthy income instance lolly pop man australia earn upto 120k aud factor 30 40 tax still take home 70 80k roles taken australians not folks south asia china flip side educated class wouldn earning wages dissimilar either words income gap quite narrow regulated tell tale sign good healthy developed economy far cry see singapore,0.9295
13,probably lifetime no need jelly,-0.296
14,wong said unpredictable situation w n press conference apr 9 minister national development lawrence wong said known would later explode big clusters would done things differently unfortunately not luxury benefit hindsight press conference apr 9 minister national development lawrence wong said known would later explode big clusters would done things differently wong responding question asking anything could done avoid quarantine thousands becoming large clusters moving quickly known would done things differently no one tell next step wong said unpredictable situation spreads quickly pointed previously however never exploded big clusters time happened said wong also explained single lapse individual continues go work interact others easily end spreading many others emphasised need proper system screen separate sick healthy contain spread across wong said put resources muster,-0.7565
15,exactly sure majority infections isolation areas community spread low look numbers would not surprised reach 10k within week course hope not no extension fear gahmen gonna make mistake time healthcare system gonna suffer,-0.4067
16,sail back home haha,0.4588
17,deport ftrash fws frens built nation dun associate ftrash,0.0
18,many homeless ppl sg living worse no one anythingexactly many homeless sinkie,-0.6486
19,stand far mask dun think hear sham saying,0.0
20,u work civil public service u know top mgmt not decisive one implement changes day day simply reactive u know expect governing body,0.0346
21,broke numbers theory thread,-0.4215
22,pls dont lazy reading upit already proven elderly vulnerable susceptible due existing health conditions ft generally young fit physicallylook profile dead health uk lots younger people,-0.316
23,tomorrow sti still green little red consperm manipulated,-0.3262
24,wait consumers change things not like choice buying not buying housing alternative homelessness homes singapore essentially built really case no way improve living condition increasing housing prices tax funded subsidies government should explain clearly much increased regulation likely cost impose regulation anyway lot things increase businesses costs including levy still benefits worth one richest countries world afford let live humane conditions without bankrupting country time evidence show operators making huge profits case profits should go towards improving living conditions shouldn allowed profit exploiting,0.9639
25,u imagine contract tracing police teams today got 120 new trace previous days might not even cracked yet keeps eventually cannot contact tracing alr,0.0
26,unique person swabbed following dates 07 april 47 48614 april 59 73720 april 82 64427 april 99 929so around 2 4k person tested day since 20 27 april like 158th report using total number tests not unique person tested majority sinkies thought testing 8k people day actual reality way lower,0.1531
27,design built according specifications time inspected approved bca top jo jo claimed not requirements blaming bca bca law wong see thread give damn safe social distancing either compact l distancingcorrect bca charge mnd ahwong minister charge,0.7527
28,66 new unlinked really play circuit breaker,0.4005
29,relax normal flu,0.0772
30,many incubated case come record one one gg,0.296
31,waiting 4 digit buy 4dbut sg pools closed,0.0
32,exactly told mum say bs dun anyhow say not elderies know growing group people staying social media cos understandably mentally exhausting go news day day somehow wished away half baked measures,-0.4621
33,major fark,0.0
34,finally got new cluster today garmen should come n say won exit cb long fws 100 recovered coz sinkies working getting infected,0.128
35,lawrence wong must thinking knn gan boh yong paid still lazy still ask clear shite front journalists monkey psychic ability mess fark hardwarezone forums appthis kind colleagues u normally find toxic working environment sinkie got credit first come claim effort got problem come 1st one point fingers,0.4939
36,anyone heard pinky speech hypocrisy years exploitation got exposed start appreciate locked last week condemn death got petition suddenly pretend help exploit free market yo not happy wages living conditions always fark back,-0.4401
37,uselessness caused everyone much worksent pofma truth oh point question using,-0.0772
38,singapore cluster sent baba yaga pigu dong using,0.0
39,no hoper asia suddenly qualify asian wuhan cupdishonourable son sia suay arsehole singapore hardwarezone forums appwe podium position 3rd asia cup thank pap,0.0772
40,song bo,0.0
41,solution problem let hear tekong many empty buildings,-0.296
42,want start calling names instead addressing issue hand attitude hope not maintained real life contrary said attitude would severely limit social life work imagine dealing nincompoop starts tell people dicks called wrong bullshit,-0.5423
43,everybody initially worried chinese indians biggest disease,-0.296
44,come biatch no need accountability still continue draw millions pap law,-0.296
45,wow insider news,0.5859
46,agreed however not companies fault government regulations allowed squeezed together like first place not back lorries go companies profited push govt finally give labourers decent living conditions deserve,0.7997
47,never knew large amounts driving cars around lmao motorcycles not like certain races _ ツ _,0.2444
48,also whack quite ep holders employers u rememberthat one nv obey shn loa one never obey cb,0.0
49,similar posted nurse wages might pay houses renovation maybe owners construction company bosses shouldn making much post recently owner wife giving tour sentosa cove house probably not one,0.25
50,local die didn come ft die need rush,-0.8316
51,circuit breaker lai,0.0
52,suggest put hotels raid reserves posted pcwx using sm g985f,0.0
53,pray tell skills possess specially recruit ex regulars probably drive grab security no brainer accept job lest slips mind one twelve no,0.4404
54,literally shouted wtf living room saw thread title ji bai daiji dua tiao,-0.5859
55,sibei jialat realize mustafa danger zone,-0.5267
56,yah gonna last min videographer lucky mom said go omg,0.4215
57,40 000 malaysians still singapore malaysian state johor hopes singapore make exemptions tested allowed return state malaysian making way back singapore republic began implementing stricter measures address pandemic period known circuit breaker measures began april 7 go may 4 seen workplaces schools closed order reduce risk infections currently malaysians test negative singapore able go home quarantined without certification prior testing required undergo compulsory 14 day quarantine one government centres statewide johor mentri besar hasni mohammad said state working malaysian ministry affairs discuss matter counterpart singapore given city state presently not conduct tests unless person showed symptoms singapore high commissioner malaysia vanu gopala menon previously said currently no requirement singapore government provide random tests singapore ministry health said testing performed clinically indicated patients close contacts means malaysian get test done singapore unless symptomatic datuk hasni said interview johor district iskandar puteri hope singapore allow exemptions malaysians want return get test done clinics hospitals said hasni said confident matter would discussed malaysia singapore special working committee solution reached said since malaysia implemented movement control order mco march 18 curb resolved certain issues including easing movement cargo essential non essential items countries well accommodation malaysian singapore government not stop malaysians returning singapore assure frontliners taken necessary steps procedures border said hasni urged returning malaysians give full cooperation frontliners conducting necessary screening testing checkpoints number malaysians returning singapore island republic started measures curb spread hasni said biggest influx registered april 3 3 400 people since 500 600 malaysians coming back per day able cope numbers added returnjust tell healthy get home malaysia,0.9632
58,wait fws something naughty onboard,0.0
59,singapire 1309 total likely go pass 1400 coming daysassumption 120 x 2 easily 200 per day soon keep multiplying since no sick no mask give lousy mask without proven protection,-0.8316
60,always solid people listen lot boomers old folks already condemned hard change mindset,-0.4019
61,given huge amount bet transmissions started way earlier even noticed,0.3182
62,use taxpayers money mom failed regulate operators employers cramped housing conditions companies failed automate wish forever rely cheap labour lack strategic foresight clamp number cheap foreigners labours keep issuing large amount work permits exposed incompetence policy makers,-0.8591
63,tot said got 323k residents wat really wanna know many already tested trying hide prevent us knowing real infection rate 323k total sg many tested not known never specific number exactly got tested,-0.2076
64,end lockdown 1st june eat cheer rather sad think forum desperate bad news would rather wish ill fellow singaporeans god laughable simi lockdown half fark cb hor pretending everything hunky dory even sadder reality poorly due grave mistakes made continue made sure one day behind us take lot longer cost us lot money plenty job loss thousands failed business necessary personal view,-0.93
65,owner n operator must pay double another month lockdown lhl never says owner n operator quite n keep punishing us sinkies million dola salary still tcss noscape goat want especially joe,-0.6096
66,finally start moving okay ones barracks hope got encik watch make sure area cleaning every every day not turn another slum days ago still see edmwers say army barracks bad bored ask go run kiss tree,0.5106
67,logically scared get upset start another little india look numbers ancient china even cao cao army smaller 284k x 30 85k sneak pass japan 11 9k week start challenge china 82k next week onwards,-0.6369
68,no wonder come circuit breaker already predicted based suspected tested,-0.4767
69,not govt didn take action late not effectively additionally policies previous epidemic used used community country preparation sense reliance done sars areas overlooked sars didn widespread community transmission aspect government think possibilities situation could get worse plan policies escalation situation things changing quite fast didn evaluate properly least think consequences action govt wholly incompetent handling epidemics fact necessary steps banning flights parts didn case wrong timing various factors us discuss incompetence also realise amount available information point time planned policy must realise also discussing past event already know consequences policies quite good job imo outside errors could prevented relation said could done probably wasn expectations,-0.9219
70,ikea ones fast kena,0.0
71,close paperjail editor,0.0
72,singapore aiming forasian champion asian champion china leh mlmlwml,0.8316
73,trying make norm stop annex coz control moh better come clean since around 7 25pm according cna already knew total figure many hours still cannot come annex 120 fake figure,0.0772
74,government think highly denigrate oppo critics useless destructive country see really better sent mi a2 using,-0.7245
75,mean dorscon feint orange,0.0
76,2 weeks later lawrence youtube unfortunately not luxury benefit hindsight,-0.5967
77,waa nice abit extravagant okay la rewarding contributions singapore enjoy stay cansent sm g975f using,0.8834
78,singapore playground rich poor get eat sh,0.128
79,circuit breaker really time bomb proper 7 days lock not chain reaction bangala maid household,-0.539
80,whatsapp message claimed situation could quickly spiral control maids met infected carried back employers sense superiority chart employers even allow maids go normal days think free reign outdoor activities period oh no maid contracted covid19 must definitely not family spent 24 7 usual shift blame need,0.3612
81,u seen nation rejecting sick citizens returning didn import back 200k sinkies sick not idea charter flights send wanting go back one go back every less relieves space better care remaining really means take care period malaysia announced msians not allowed back ask stay put r problems,-0.2632
82,valid points mum also said many infected surly hang around would also going markets buy food socialise locals helpers etc no thing us land anyway,-0.5106
83,adults engaging strenuous exercises like running jogging not wear mask put stop exercising dumb loophole everywhere go sprint dont force govt create rule law every single thing try stay home possible jumping jack jogging spot skip rope hiit many fuggers spoil market thats rules,-0.343
84,ya seem like age alot within monthlast time boss stress one month maciam like aged 10 years,0.296
85,one big fire hum kar chan sure,-0.0258
86,squeezing water stone not admission read see widespread infection could possible know unprecedented no way knowing,-0.296
87,not excuse complacent,0.0
88,unfortunately without increase pay constuction industry already moved prefabs future large scale 3d printing,-0.4707
89,think conditions appalling close quarter living appalling come would typhoid cholera etc case,-0.6124
90,tekong fall sick logistic pain bring back treatment trip also dangerous put boat mass testing better,-0.7783
91,problem hygiene ability social distance therefore applies errant operators not problem race nationality appear keep insinuating moment government released statements explaining manage quarantine affected communities saying not enough kindly explain money needs go specific issue starving vwos working social problems second asked question creating strawman implying intention create misleading train thought trying create straw man operators following social distancing protocols building storey should partitioned accordingly makes practically no different us living hdb venturing necessities saying 1 operators ignore rules 2 fault ignoring rules 3 privy information not reporting assist authorities final statement strawman never disagreed issue worth government attention said disproportionate amount attention given considering issues present well issue opinion feel free share context see reasonable person would continually take words twist something else,-0.8842
92,590 casess11 cluster alone grows almost 590 tell give good reason operator shouldn fined least make owner pay part medical bill,0.128
93,full lockdown 1 month already leh today suppose lifted started seeing results last week numbers start dropping low 2xx high 1xx range,-0.2732
94,u gonna either options downsides choose one mixture one day grp numbers tgt days separate thats gonna cause confusion im tryna say one way another downsides pick one would relatively better since govt organization would citizen wellbeing first govt should would prioritise option would cater citizens first u understand tryna keep citizens calm theres ur answer yes downsides choosing lesser two evils way not ideal unfortunately u would want govt firm not fence comes decision making decided take path,0.1431
95,good news fatality still low majority young healthy may screw neglecting efforts made make continue seeing good thing fight see,-0.5859
96,early case wuhan tourist went church got charged yet,-0.2023
97,beat raham today,0.0
98,10 hit rate,0.0
99,con struction,0.0
100,solution simple leave enough food lock gates wait 14 days open gate remove 3 died rest 97 gain herd immunity jitao deploy work without fear gahman thank later,0.3438
101,josephine jialat liaoposted pcwx using pixel 4 xl,0.0
102,古惑仔 triads movies 大佬 scold punish men first made mistake avoid enemy 龙头 punish heftily even kill,-0.9694
103,believe one wow say statements put bluntly no shit sherlock,-0.25
104,small family living three storey residence still infected judging one earliest really doubt spreading bit stop infections spreading,-0.8016
105,bobian need get back work cos sinkies work order not delay ongoing projects according fren,0.2411
106,hope pap long hard look b4 thisredhill lot old folks 1 1 bangala kenna entire area ggif known,0.3612
107,not good enough prevent outbreak amongst community really yardstick matters point,-0.2736
108,funny ns recruits also live close proximity bunks see looking like 3rd world hole mandatory area cleaning every morning people even common sense properly clean izen reactionsin 70s 90s nsf task area cleaning bunk toilet parade square cook house nco officer mess saving mindef millions instead outsourcing vendors cleaners also area cleaning standby checkfrom 20s onward start outsource cleaning vendor cleaners whereas foreigner clean cleaners hence bo chup,0.8225
109,comes long still no moh release got numbers,-0.296
110,hire back bg lui tuck yew like,0.3612
111,2 week time eat words end lockdown 1st june eat cheer rather sad think forum desperate bad news would rather wish ill fellow singaporeans god laughable,-0.5267
112,making croissant base mom said 728 like singapore wah fuck legit real shit least 48 local since locals interact lot hm should ok honestly idk hope hit 4 digits tmr,0.2732
113,great,0.6249
114,hope authorities gave us 2 sets reports one outside not government responsibility accountability lack control accept average results elitist ministers,0.4939
115,r pretty big mistakes,0.1779
116,lol radar still blow like use radar,0.6486
117,realistic,0.0
118,fyi jv markets mm2 asia sph jointly operate asiaone mm2 51 sph 49,0.2023
119,蒸蒸日上,0.0
120,pay see bill line item breakdown like see used paying vs paying paying necessarily question presenting pay suffer statement simplistic want blank cheque,-0.3612
121,actually quite impressed rich look thread example not single photo ppl discussed instead see dr chee photo good rich powerful ppl no dare offend,0.9253
122,masks wouldn help much get anyway,0.4019
123,food provide quite bad according tat posted lhl twitter 70 rice 10 meat 20 veg dry fuck,-0.807
124,time pink make announcements start double digit shortly hopefully go triple digits next 2 weeks pray sgwhy think pinky announce circuit breaker obviously things getting controlopen legs,0.6124
125,wah agree u man hahahaha,0.3612
126,awful start week great news times tomorrow half amount,0.2732
127,cluster sexploded,0.0
128,thought infected should isolated monitored still walk around go staircase like walk cheers buy drink not moh must sexplain infected patient walk freely like go northpoint buy bb tea also right,0.3182
129,go cna facebook article understand not done start lot keyboard warriors easily slam gov standards doms since not impact moment known dom constructed near forgot social justice calls care,0.7506
130,joggers jogging need wear mask taking cooldown walk must take mask,0.0
131,shows factor spread not rather think separating useful helpful find discriminatory,0.6908
132,sti chiong tomorrowgood friday chiong,0.0
133,maybe thought packed concentration camp like north korea end ride gas chamber wouldn put past us,0.3612
134,still want close school immediately sent using gagti dun understand must wait wed close school must wait tues close business cant close mon meh strange,-0.0716
135,really didn see,0.0
136,hard truth remain like cruises covid19 infected passengers sooner later get infected solution take put quarantine facilities chalets hotels singapore expo st john island coney island not dispersing fast recipe disaster hope government act fast learn diamond princess incident time bomb live together somemore diamond princess already better living condition,0.1531
137,lot imagine right room 11 strangers try safe distancing should thankful current situation,0.765
138,base 17 years ago govt well preparation against sars crazy sent using gagt17 years ago lky still around,-0.0772
139,cb not help special situation population density high many people share spaces outside likely cb won needed anymore 2 weeks,0.3365
140,time first symptoms drs visit referral positive test result,0.5574
141,would blame littering number fts even without tourists,-0.2732
142,getting lower break cb already,-0.296
143,good deal cost statistics borne sg sent sm n960f using,0.4404
144,problem owners always close powers people wanna gripe low income families seemingly skivving state benefits hv no idea extent state benefits extended top 1 name gdp,0.0
145,everyday 1k plus case trace language barrier interview everyone thembasic information work place start stopped giving info annex unlinked huge graph till 19th see many unlinked want critical especially obvious manpower stretched basic information should enough start see links construction sites seems collation info not efficient tracking s11 got 1k not single link construction sites work places,-0.2575
146,really real 12625776,0.0
147,sending ex saf personnel clean blangla toilet something like not like dr ng helping clean jo toilet khaw yesterday tweet fighting next min mom tch busy nego msia stuck jhk 3 3g assisting mom no wonder jo finally find relieve pack masks,0.8126
148,feb ask bosses dont sent test,0.0
149,used 2 expo halls still got plenty think concerning number healthcare think enough rate,0.0772
150,joker reservists go back risk kena govt got pay anot ex regulars paid leh leh like mercenary govt never recall reservists unless want even civil unrest citizen u not local right army regulars must know siam oneif not jlb 55 retire security officer,0.4939
151,new poll talk feel pap handling crisis want see many ib dogs still gold standard containment one day 287,-0.5859
152,think rest us should move let isolate homes tampines should enough space,-0.2023
153,laubu ask look job sell cb bangla birthday hopeless,-0.4588
154,umm may still not choose go clinic paid 70 consultation meds could weathered instead general tendency avoid medical care unless absolutely necessary marginalized,0.25
155,definitely lawrence wong mentioned going around randomly testing singaporean community see statistically significant hidden casss,0.5423
156,122 unlinked sia,0.0
157,err students students la arent adults think fall diff cat renter thing analigy entirely different pay things break cleaning toilets trash collection outsourced saying occupant still duty care living environment example landlord staying flat toilet breaks fair enough pay fix trash place dont clean bedroom flat food everywhere resulting pests fail see landlord fault,-0.6502
158,many,0.0
159,removed,0.0
160,government stops citizens coming sg work construction cleaning mis treatment bro gahmen need forex not ceca others taking care not priority handle let go early screwed 1 month back next 2 months break us drs nurses start dying see,-0.1531
161,many long term pass holders kena ktv gers sibo still hanky panky customers,0.0
162,no slow stopping people traveling stubborn people still went overseas march holidays brought fresh wave disease back,-0.1531
163,go swimming sent butthole using,0.0
164,55 community number not dropping 2 weeks cb,0.0772
165,much sponsoring lifestyle scrooge,0.0
166,clusters unfortunate imagine thats could spread saf bunks carefully not properly enforced hopefully area addressed things abate abit cause sch clusters seem eased fingers crossed abit,-0.3732
167,view shanmugam pointing everyone learn sensitive dealing type situationlet point remind everyone jesus said one without sin one should cast first stone whoever racist let god serve deserve should not judge wrong else should label hypocrites,0.3773
168,long affect g image wrong g say singaporean fault no problem wanbao really dunno please,-0.7976
169,time mom sabo one should sack officers charge monitoring bangla accommodation minister josephine teo dunno sleep long care bonus,0.7717
170,much respect people organizations mistakes absolutely no respect never admit mistakes everyone makes mistakes no one organization perfect,-0.291
171,johor hopes singapore provides free swab tests citizens returning safely land help quarantine screen citizens foc found wuhan also provide free treatment msia want take back jhks certified free wuhan sick ones throw us,0.9393
172,2 old men must beri sian wan retire still must must come clean b side siao mei,0.4019
173,r unpopularopinion r unpopularfact singapore daily infection case count dicc continue break new record till 3xx xxx fws source publications workforce numbers 43 licenced fdws screened swabbed followed isolation quarantine infected fws reside fwds permits work permit housing hordes fws housed non fwd residences geylang jurong boon lay woodlands etc eg prc fws living shophouses geylang bangladeshi fws living little india plus tenants landlords erect illegal partitions low end residential units balestier jalan besar area cream low renta fws sleeping cramped crowded spaces,-0.9136
174,drop top high numbers infected people matter going release figures not tested 12677140if liddat numbers sure drop mah cuz not testing still confirm casesent sm n975f using,-0.4939
175,could bo dai bo chee make national anthem sound rike really 招天谴 lol bad omen really preparing funerals riaoz yeah sibeh suay jiak bee jiak pah boh daiji people luckily cny rat chinatown doesn looks weird else like last time weird dog cartoon people feel suayness,0.2585
176,looking case confirmation dates should mustafa first tengah lodge glory earliest confirmed case 25 3 data moh actually provided project glory actually different domitories working,0.7906
177,sauces plszzz,0.0
178,systematically not one cause reaction something unpleasant happened previous year,-0.4767
179,not much good news days gonna take get,-0.3412
180,cb legit getting bad worse hope flatten curve 2 4 weeks,-0.5719
181,finally got new cluster today,0.0
182,second wave seems contagious nah playing dice 1 bangla hit crowded condition triple infection oyk also playing dice also lucky,0.3818
183,let u guys know early u guys safe n stay away crowd,0.4404
184,terrible condition years govt didn care cared money rolling noes bodys dieds means ish habitables,0.4404
185,really like guy,0.4201
186,anyone got annex cant find,0.0
187,ok la 800 quite good recently really 800 day times changed,0.659
188,yes till 17th actually pretty easy cos worked workflow transfer raw data excel not keying manually sort automated really nice info really takes much effort time,0.9312
189,not councidence knew last week alr thats call cb not never call prior intel releasing one lnow probability alr confirm smth cotizen wont jjww much yup think 287 1 day not yet enough warrant actions know la ggwp,0.0
190,short term memory 1 not pmets get facts right talking cheap 2 ask philippines indonesia stop citizens going certain countries work maids myanmese started exporting ladies maids still worked u need no scared no one wanna come pay attractive u want greek ladies also,-0.5574
191,15 20 deteriorate time requiring ventilator maths still not code red still consider limited transmission ok got 1000 beds cater illness still got capacity lightly ill ones house somewhere else,-0.6369
192,yes mentioned schroeder bootlicker failedthat not early said okay home quarantine rented rooms roommates safe no low risk already disagreed probably feb,-0.4149
193,collectible item should pass generation generation remind pap f k say say one not say one,0.0
194,singapore singapore confirmed 1 037 new noon thursday apr 23 taking national total 11 178 fourth day row singapore reported daily increase 1 000 vast majority new work permit holders residing ministry health moh said preliminary release figures twenty one new singaporeans permanent residents still working details updates shared via moh press release issued tonight ministry added,0.5719
195,option 1load princess cruise ship sail international waters near horsburgh lighthouse ship crew bail transfer rsn ship get country self collect problem solved numbers exported need creative bangalore princess 20k sg still maintain 1k gold standard maintained option 2 country refused self collection load princess cruise ship sail international waters near horsburgh lighthouse ship crew bail transfer rsn ship ship exploded sunk due engine room fire problem solved numbers exported need creative bangalore princess no pm write poem sg still maintain 1k gold standard maintained option 3 whichever option 1 2 chosen include texas5ice part crew hello wp holders not e pass holders mean,-0.0516
196,jialat sia 3 digits,0.0
197,i196 rooms many people u put got 200k lehsay 2 beds per room around 400 pax maybe extra pullout beds fixed beds,0.0
198,really ministers repeatedly saying not let guard beginning think citizens ones got complacent,-0.0772
199,tong another 2weeks go back already day saw video neh interview quarantine says 2 years never go back always crying sent amazon kfdowi using,-0.34
200,know sam tan confirm win election previous oppo han huihuiyesh confirm win de lol,0.886
201,cash cow govt due levy range 250 1000 per mth let say million singapore every month easily 100 million levysent mi 8 pro using,0.34
202,xdd got ask farmer friend contact need source hawker friend one selling fried oysters,0.7506
203,referring south asian always buy indian food ask rice indians especially rural backgrounds take alot rice average person probably due labor intensive tasks like working fields case long hours construction,0.3612
204,photo ops jsm,0.0
205,quite unlinked today previous days bangladeshi indian work pass long term pass holders previous days got linked construction sites today community spread amongst obviously rampant sg didn good enough job protecting,0.4404
206,option 1load princess cruise ship sail international waters near horsburgh lighthouse ship crew bail transfer rsn ship get country self collect problem solved numbers exported need creative bangalore princess 20k sg still maintain 1k gold standard maintained option 2 country refused self collection load princess cruise ship sail international waters near horsburgh lighthouse ship crew bail transfer rsn ship ship exploded sunk due engine room fire problem solved numbers exported need creative bangalore princess no pm write poem sg still maintain 1k gold standard maintained,-0.296
207,fark pap,0.0
208,see jo teo stand far behind see really scare cslled safety distance,-0.1102
209,sigh cb continue next month probably next also really miss sun,-0.2006
210,edmwer always brain work get multimillion dollar salary,0.0
211,hope result proactive aggressive testing government respect sifting asymptomatic ones well not entire gg sure say one won keep quiet,0.8793
212,proof right thread unfortunately might not small numbers,-0.34
213,good free food free lodging free medical care free salary without working really no need apologize asked kind stupid question perks giving taxpayers expense better apology fact pay should cut screwup lack foresight,0.9641
214,thought lmao doesn make ignoring years,0.296
215,psa take care everybody please not get seriously sick kena serious asthma attack get accident requiring stay hospital look dengue fever clusters area well current low spread word,0.3004
216,anybody csi case 1712 uniquely special,0.4019
217,siao expecting maybe increase 500 ish not 50 increase 400 700 since came domitories expect get worse days,0.128
218,true blue singaporeans term dangerous divides people costs ubi would astronomical baby steps would necessary minimum wage first guns home car crazy,-0.4019
219,reactive earn vote logic behind sent mi 8 pro using gagtnot reactive earn votes taking drastic measures sure lose alot votes especially things turn less worse expected later,-0.4951
220,hundreds comments jo teo fb praising not negative comment job well done lol deleted negative comments ib lasent rain rain go away using,0.9245
221,actually sinkies living hdbs also another form pigeon holes another casualty economic punishment,-0.765
222,next days really 1000 curve should flatten already right top,0.2023
223,nah give 3 reports one one work passes outside dormsone citizens pr must 3 groups number sweeauthority ramp 23 000 additional beds oni 17 101 nia nia expecting 40 000 50 000 end may 2020,-0.0258
224,errrr 3 months late errrrrr,0.0
225,looking mom mismanage spread 19need extensive damage controlif nt u need kisiao ones start riotthats,-0.4939
226,iirc even education professional background csi ed zaobao published breaking news first tonight might something work experience monkey psychic ability mess fark hardwarezone forums app,-0.0516
227,one checkered many months hope gynae standby,0.4404
228,lot also drive class 3 4 5 vehicles go driving centers mock tests especially towards end day see lot coming supervisors take mock tests no driving cars motorcycles like vans lorries trucks whatever work requires able drive easy sgd100 200 month not sure rates used see lot driven lorries lck area,-0.5207
229,dream cruises head international sales genting cruise lines added together singapore government forefront every effort made uphold health welfare singapore board ship include observing highest standards safe distancing preventive measures times,0.5994
230,pending admit hospital saw quite numbers hospitals no beds akan datang test ask go back isolate wait results results positive see hospital got bed ask ambulance pick,0.2815
231,last sentence already mentioned circumstance changed therefore coronovirus indeed something new us even whole world govt super yaya know anything chose approach exactly like sars complacent arrogant pap,0.4939
232,1 batch batch isolated 2 location either stadium expo reservist army camp 3 set bcs field hospital activate smm 4 commendo guard spf rotate guard duty 5 house pap mp minister istana last resort sent baba yaga pigu dong using,-0.3182
233,think dumbass like donald trump better yea hes buffoon liar clown balls really need not bunch yes man yes cannot guniang guniang must firm like russia putin leh sent using,-0.5448
234,wow 120 time really jiat lat,0.5859
235,wah 66 unlinked,0.0
236,still linked likely construction sites pass holder doesn stay likely foreman supervisor construction site,0.0
237,hope actions beyond ability understand,0.6369
238,heyappreciate work putting wish dashboard moh publishes better slice dice capabilities folks great help provide visualization question data 7 april shows 50 100 non choosing day peak however report 7th highlights details 33 discharged 106 new infection confirmed total 106 3 imported end day 39 23 non 41 unclassified total 106 day visualization non looks little high not getting,0.9081
239,privatize profit socialize costs common us harvard business school 101 hope companies held accountable blows least gahmen sg better us,0.8271
240,pandemic bad enough resulting shutdowns around world retrenchments etc sg already need spend huge amounts tax dollars buffer economic impact external factors makes worse right doorsteps sg rising exponentially should sg controlled local well could minimised impact internally could prevented wasting sg tax dollars extra agree might not completely jo fault leader ministry responsible accountable show responsibility could opinion described systematic failure resulted outbreak among fws agree honestly quite well handling outbreak prior explosion imported returning singaporeans residents taken care achieving high discharge rate agree not easy especially need balance well employer cost squarely responsibility ministry find balance equation explanations press conference parliament also simply inadequate disappointing opinion,0.5037
